ID_Original|ID_Required
CHEM 4100|CHEM 2300
CHEM 4100|CHEM 2500
CHEM 4100|CHEM 3500
CHEM 4100|BIOL 2010
CHEM 4100|CHEM 4100
CHEM 4100|CHEM 2400
CHEM 4100|CHEM 4100
CHEM 4100|CHEM 4100
CHEM 4200|CHEM 4100
CHEM 4200|CHEM 4200
CHEM 4200|CHEM 4100
CHEM 4200|CHEM 4200
CHEM 4200|CHEM 4200
CHEM 4300|CHEM 2500
CHEM 4300|CHEM 3200
CHEM 4300|CHEM 4300
CHEM 4350|CHEM 2500
CHEM 4350|CHEM 3200
CHEM 4350|CHEM 4350
CHEM 4400|CHEM 3200
CHEM 4400|MATH 2220
CHEM 4400|PHYS 2010
CHEM 4400|PHYS 2510
CHEM 4400|PHYS 2010
CHEM 4400|PHYS 2510
CHEM 4400|CHEM 4400
CHEM 4500|CHEM 4400
CHEM 4500|CHEM 4500
CHEM 4500|MATH 2310
CHEM 4600|CHEM 3200
CHEM 4600|MATH 2220
CHEM 4600|CHEM 4100
CHEM 4600|PHYS 2010
CHEM 4600|PHYS 2510
CHEM 4600|CHEM 4600
CHEM 4700|CHEM 4600
CHEM 4700|CHEM 4700
CHEM 4700|MATH 2310
CHEM 5001|CHEM 5001
CHEM 5001|CHEM 5002
CHEM 5100|CHEM 2500
CHEM 5100|PHYS 2010
CHEM 5100|MATH 2210
CHEM 5100|CHEM 5100
CHEM 5200|CHEM 3200
CHEM 5200|CHEM 2500
CHEM 5200|CHEM 3500
CHEM 5200|PHYS 2010
CHEM 5200|PHYS 2510
CHEM 5200|CHEM 5200
CHEM 5400|CHEM 3200
CHEM 5400|CHEM 2500
CHEM 5400|CHEM 5400
CHEM 5700|CHEM 4200
CHEM 5700|CHEM 4200
CHEM 5700|CHEM 5700
CHEM 5800|CHEM 3200
CHEM 5800|CHEM 2500
CHEM 5800|CHEM 5850
CHEM 5800|CHEM 5860
CHEM 5800|CHEM 5800
CHEM 6753|CHEM 5751
CHEM 6753|CHEM 5752
CHEM 6753|CHEM 5753
CHEM 6753|GEOL 5751
CHEM 6753|GEOL 5752
CHEM 6753|GEOL 5753
CHEM 6970|CHEM 6950
CD 2215|CD 2240
CD 2250|CD 2240
CD 2251|CD 2250
CD 2252|CD 2251
CD 2260|CD 2240
CD 2261|CD 2260
CD 2262|CD 2261
CD 3304|CD 2240
CD 5952|CD 5952
CD 5953|CD 5953
CHIN 1112|CHIN 1111
CHIN 2111|CHIN 1112
CHIN 2112|CHIN 2111
CHIN 2114|CHIN 1112
COMM 3102|COMM 2101
COMM 3102|COMM 3102
COMM 3353|COMM 2351
COMM 3402|COMM 2301
COMM 4101|COMM 3101
COMM 4102|COMM 3101
COMM 4401|COMM 2301
COMM 4401|COMM 3401
COMM 4401|COMM 3402
COMM 5222|COMM 4222
COMM 5280|COMM 2201
COMM 5401|COMM 2301
COMM 5401|COMM 3401
COMM 5401|COMM 3402
COMM 5792|COMM 5792
COMM 5793|COMM 5792
COMM 5794|COMM 5792
COMM 5952|COMM 5952
COMM 5953|COMM 5952
COMM 5954|COMM 5952
COMM 6002|COMM 6000
COMM 6002|COMM 6001
COMM 6003|COMM 6000
COMM 6075|COMM 6002
COMM 6075|COMM 6003
COMM 6090|COMM 4203
COMM 6091|COMM 3401
COMM 6094|COMM 2201
COMM 6752|COMM 6752
COMM 6753|COMM 6752
COMM 6754|COMM 6752
COMM 6973|COMM 6085
COMM 6980|COMM 6084
CSE 2010|CSE 1250
CSE 2020|CSE 2010
CSE 2130|CSE 2010
CSE 3100|CSE 2010
CSE 3350|MATH 2220
CSE 3350|MATH 2310
CSE 3650|CSE 2010
CSE 3660|CSE 3650
CSE 4010|CSE 3100
CSE 4010|CSE 2130
CSE 4030|CSE 3100
CSE 4030|CSE 3350
CSE 4050|CSE 2020
CSE 4100|CSE 2020
CSE 4200|CSE 2020
CSE 4200|MATH 2310
CSE 4310|CSE 2020
CSE 4310|MATH 2310
CSE 4400|CSE 2020
CSE 4410|CSE 2020
CSE 4500|CSE 2020
CSE 4550|CSE 2020
CSE 4560|CSE 3100
CSE 4560|CSE 2130
CSE 4610|CSE 4600
CSE 5000|CSE 2020
CSE 5010|CSE 5000
CSE 5100|CSE 4010
CSE 5120|CSE 2020
CSE 5140|MATH 2210
CSE 5140|CSE 2020
CSE 5150|CSE 4310
CSE 5200|CSE 4200
CSE 5210|CSE 4010
CSE 5250|CSE 4010
CSE 5300|CSE 2020
CSE 5300|CSE 3350
CSE 5350|CSE 2020
CSE 5350|MATH 2310
CSE 5408|CSE 5208
CSE 5410|CSE 3100
CSE 5410|MATH 2310
CSE 5510|CSE 5350
CSE 5700|CSE 2020
CSE 5700|CSE 2130
CSE 5720|CSE 2020
CSE 5800|CSE 5720
CSE 5940|CSE 2020
CSE 6020|CSE 5010
CSE 6030|CSE 6020
CSE 6100|CSE 5100
CSE 6250|CSE 5250
CSE 6310|CSE 5300
CSE 6310|CSE 4100
CSE 6350|CSE 5350
CSE 6800|CSE 5800
CSE 6980|CSE 6020
CSE 6980|CSE 6100
CSE 6980|CSE 6300
CSE 6980|CSE 6550
CSE 6980|CSE 6600
COUN 6233|COUN 6220
CJUS 3311|CJUS 3320
CJUS 3311|CJUS 1101
CJUS 3311|CJUS 1102
CJUS 3330|CJUS 3320
CJUS 3340|CJUS 3320
CJUS 3350|CJUS 1101
CJUS 3350|CJUS 1102
CJUS 3354|CJUS 3320
CJUS 4430|CJUS 3330
CJUS 4431|CJUS 3330
CJUS 4435|CJUS 3330
CJUS 4440|CJUS 3340
CJUS 4441|CJUS 3340
CJUS 5550|CJUS 3311
CJUS 5550|CJUS 3312
CJUS 5550|CJUS 3470
CJUS 5556|CJUS 3320
CJUS 5560|CJUS 3350
CJUS 5560|CJUS 3470
CJUS 5570|CJUS 3311
CJUS 5570|CJUS 3312
CJUS 5570|CJUS 3470
CJUS 5571|CJUS 3311
CJUS 5571|CJUS 3312
CJUS 5571|CJUS 5550
CJUS 5580|CJUS 3320
CJUS 5598|CJUS 3311
CJUS 5598|CJUS 3320
